,air_temp_day,air_temp_night,soil_temp,air_humidity,soil_moisture,wind_speed,rain_cumulative_7d,rain_days_in_window,hours_above_28c,consecutive_moist_days,is_peak_season,porcini_score,chanterelle_score
0,17.359823921962963,10.593738824734066,21.78996115276932,71.05156546977392,35.4075235023754,8.472365776964198,59.32441624940762,5,0.04522427881993352,0,1,0.03377249470511135,0.03377249470511135
1,36.37357211152724,9.656978213322276,9.243775898770366,56.743396282735446,18.05951088877493,4.945170437193704,70.48815000770534,2,23.03962548072042,0,1,0.0,0.0004952156648200084
2,29.15580007977637,6.051539987565781,12.972712970507382,97.15988198911526,20.74053412263836,1.9546561063218582,37.05439003032008,4,12.84759844672283,5,0,0.0006488338600728638,0.00012976677201457276
3,24.75572997850221,15.967133412334222,20.25545464772982,37.518276078739056,25.357045895378352,7.366417866100926,23.134298533872606,1,16.809612982286637,3,1,0.021173130324760755,0.021173130324760755
4,10.148615134600405,12.962355691698464,16.088054924063037,67.02851327991524,27.31053342102061,4.186781356832957,25.50772594843692,5,21.902331792927626,5,1,0.05540851843148673,0.05540851843148673
5,10.147819171094687,21.911122823452086,21.987133888602557,76.01680119921781,30.592253782896247,5.946274834524972,55.75586066915151,7,10.395710378481034,10,1,0.03108584450968074,0.03108584450968074
6,6.916759201550582,2.73852035108734,27.107781728125772,86.04515914763053,31.714102461897024,1.0726529017393882,45.404642719319696,4,10.575678766754553,0,0,0.0009359530136440411,0.0009359530136440411
7,33.583812810572866,16.808962333767905,7.680573817449543,52.55768243424057,48.73588936644055,6.315839895159923,38.91953047818057,5,4.007557702140871,4,1,0.0,0.0031566480792571436
8,24.83679538752589,19.547824205765906,21.3200574771554,74.95375261259852,53.31372122021351,3.735504889451243,16.221926302093923,1,21.739878734042783,0,1,0.06758499748203753,0.06758499748203753
9,28.3663950672695,19.46819109133106,10.297915579538634,44.25611771074262,36.254732690740255,3.3418974971849447,70.03645499991227,3,15.54415934476706,3,0,0.0003382449249086069,6.764898498172139e-05
